id_alerta,codigo_tipo,fraccion_arancelaria,pais_origen_afectado,proveedor_extranjero_afectado,fecha_emision,fecha_vencimiento,vigente,nivel_criticidad,titulo_corto,descripcion_detallada,modus_operandi,senales_de_alerta,accion_recomendada,num_casos_detectados
A-2024-0001,FRA,7326.90,,,2025-12-25,,True,MEDIO,Clasificación incorrecta frecuente en 7326.90,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,9
A-2024-0002,DUM,7326.90,Vietnam,,2025-11-01,2026-09-11,True,ALTO,Posible dumping desde Vietnam,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,29
A-2024-0003,TRI,8471.30,Panamá,,2025-10-08,2026-06-14,True,ALTO,Triangulación detectada: Panamá como origen falso,Se detecta triangulación desde China vía Panamá para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Panamá con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Panam\u00e1"", ""No hay historial de manufactura en Panam\u00e1"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Panamá,40
A-2024-0004,SAN,,Vietnam,,2025-11-15,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,27
A-2024-0005,SAN,,Tailandia,,2025-12-29,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,24
A-2024-0006,FRA,3926.90,,,2025-10-27,2027-02-23,True,MEDIO,Clasificación incorrecta frecuente en 3926.90,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,13
A-2024-0007,NOM,3926.90,,,2025-12-01,,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,14
A-2024-0008,SAN,,China,,2025-09-18,2026-12-25,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,7
A-2024-0009,DUM,8471.30,Hong Kong,PROV-119,2025-09-11,,True,ALTO,Posible dumping desde Hong Kong,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,7
A-2024-0010,NOM,8473.30,,,2026-01-22,,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,6
A-2024-0011,SAN,,Malasia,,2025-09-19,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,45
A-2024-0012,PRO,8473.30,,,2026-02-25,,True,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,4
A-2024-0013,SAN,,Panamá,PROV-221,2025-12-21,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,14
A-2024-0014,TRI,6203.42,Vietnam,,2026-02-05,,True,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,19
A-2024-0015,DUM,8528.72,China,,2025-12-01,,True,ALTO,Posible dumping desde China,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,28
A-2024-0016,PRO,3926.90,,PROV-042,2025-10-08,,True,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,44
A-2024-0017,DUM,8528.72,Hong Kong,,2025-09-16,2026-05-18,True,ALTO,Posible dumping desde Hong Kong,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,33
A-2024-0018,TRI,8517.12,China,,2025-09-19,,True,ALTO,Triangulación detectada: China como origen falso,Se detecta triangulación desde China vía China para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en China con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en China"", ""No hay historial de manufactura en China"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de China,30
A-2024-0019,NOM,8504.40,,,2025-12-07,,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,36
A-2024-0020,TRI,8504.40,Tailandia,,2026-01-02,,True,ALTO,Triangulación detectada: Tailandia como origen falso,Se detecta triangulación desde China vía Tailandia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Tailandia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Tailandia"", ""No hay historial de manufactura en Tailandia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Tailandia,33
A-2024-0021,FRA,7326.90,,,2026-02-18,2026-08-22,True,MEDIO,Clasificación incorrecta frecuente en 7326.90,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,45
A-2024-0022,TRI,8471.30,Vietnam,,2026-01-15,2026-09-09,True,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,48
A-2024-0023,DUM,8517.12,Malasia,PROV-200,2025-11-20,2026-09-01,True,ALTO,Posible dumping desde Malasia,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,46
A-2024-0024,SAN,,Tailandia,PROV-041,2025-12-07,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,35
A-2024-0025,NOM,8528.72,,PROV-039,2025-12-03,,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,24
A-2024-0026,SAN,,Panamá,PROV-140,2025-09-25,2026-10-21,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,31
A-2024-0027,PRO,8528.72,,,2026-01-02,,True,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,46
A-2024-0028,SAN,,Malasia,PROV-127,2025-09-13,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,48
A-2024-0029,TRI,8528.72,Tailandia,,2026-02-08,,True,ALTO,Triangulación detectada: Tailandia como origen falso,Se detecta triangulación desde China vía Tailandia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Tailandia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Tailandia"", ""No hay historial de manufactura en Tailandia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Tailandia,12
A-2024-0030,NOM,8542.31,,PROV-158,2025-11-22,,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,31
A-2024-0031,FRA,8542.31,,PROV-230,2025-12-22,,True,MEDIO,Clasificación incorrecta frecuente en 8542.31,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,38
A-2024-0032,SAN,,China,PROV-284,2025-10-21,,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,8
A-2024-0033,SAN,,China,PROV-199,2025-09-29,2026-10-15,True,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,8
A-2024-0034,NOM,9403.60,,,2025-10-09,2026-08-03,True,MEDIO,NOM actualizada requiere verificación,Norma oficial mexicana actualizada recientemente para esta fracción.,Productos importados bajo norma anterior ya no vigente.,"[""Certificado de cumplimiento con fecha anterior a actualizaci\u00f3n"", ""Etiquetado no cumple nueva NOM"", ""Falta certificaci\u00f3n de laboratorio acreditado""]",Verificar cumplimiento con versión vigente de la NOM,46
A-2024-0035,PRO,8708.29,,PROV-075,2026-01-17,,True,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,7
A-2024-0036,SUB,8708.29,Hong Kong,,2025-11-10,,True,CRITICO,Subfacturación sistemática en 8708.29,Patrón de subfacturación detectado en importaciones de esta fracción desde Hong Kong.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",26
A-2024-0037,FRA,9403.60,,,2025-12-28,2026-12-10,True,MEDIO,Clasificación incorrecta frecuente en 9403.60,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,32
A-2024-0038,TRI,8528.72,Panamá,,2026-01-26,,True,ALTO,Triangulación detectada: Panamá como origen falso,Se detecta triangulación desde China vía Panamá para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Panamá con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Panam\u00e1"", ""No hay historial de manufactura en Panam\u00e1"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Panamá,27
A-2024-0039,DUM,8528.72,Tailandia,,2025-12-07,,True,ALTO,Posible dumping desde Tailandia,Precios consistentemente por debajo del costo de producción.,Venta a precios predatorios para ganar participación de mercado.,"[""Precio por debajo del costo de materias primas"", ""Volumen de importaciones aument\u00f3 200%+"", ""Industria nacional presenta quejas formales""]",Documentar para posible investigación de prácticas desleales,11
A-2024-0040,FRA,3926.90,,PROV-161,2025-12-09,,True,MEDIO,Clasificación incorrecta frecuente en 3926.90,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,14
A-2024-0041,PRO,3926.90,,,2024-10-11,2025-06-07,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,34
A-2024-0042,SAN,,Hong Kong,PROV-202,2024-12-28,2025-09-10,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,26
A-2024-0043,TRI,8544.42,Malasia,PROV-237,2025-02-10,2025-08-11,False,ALTO,Triangulación detectada: Malasia como origen falso,Se detecta triangulación desde China vía Malasia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Malasia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Malasia"", ""No hay historial de manufactura en Malasia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Malasia,48
A-2024-0044,SUB,8504.40,Tailandia,PROV-210,2024-06-11,2025-02-05,False,CRITICO,Subfacturación sistemática en 8504.40,Patrón de subfacturación detectado en importaciones de esta fracción desde Tailandia.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",46
A-2024-0045,PRO,6203.42,,PROV-079,2025-04-13,2025-12-14,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,48
A-2024-0046,PRO,3004.90,,,2024-08-12,2024-12-17,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,33
A-2024-0047,SAN,,Malasia,,2024-07-19,2025-07-17,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,47
A-2024-0048,PRO,3926.90,,,2025-07-27,2026-04-27,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,37
A-2024-0049,SAN,,Vietnam,,2025-06-07,2025-10-30,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,25
A-2024-0050,SUB,8536.69,Panamá,,2025-07-19,2026-05-09,False,CRITICO,Subfacturación sistemática en 8536.69,Patrón de subfacturación detectado en importaciones de esta fracción desde Panamá.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",30
A-2024-0051,TRI,8708.29,Vietnam,,2025-08-23,2026-01-10,False,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,36
A-2024-0052,SAN,,Panamá,,2025-01-19,2025-12-03,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,46
A-2024-0053,SAN,,Panamá,,2024-04-08,2024-09-22,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,33
A-2024-0054,TRI,7326.90,China,PROV-073,2024-11-04,2025-09-02,False,ALTO,Triangulación detectada: China como origen falso,Se detecta triangulación desde China vía China para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en China con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en China"", ""No hay historial de manufactura en China"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de China,25
A-2024-0055,FRA,8536.69,,PROV-248,2024-09-16,2025-08-05,False,MEDIO,Clasificación incorrecta frecuente en 8536.69,Se detecta uso incorrecto de esta fracción para productos de mayor arancel.,Productos clasificados como 'partes' cuando son equipos completos.,"[""Descripci\u00f3n de mercanc\u00eda no coincide con fracci\u00f3n"", ""Precio unitario inconsistente con la clasificaci\u00f3n"", ""Historial de reclasificaciones en reconocimiento""]",Verificar descripción detallada y solicitar ficha técnica del producto,25
A-2024-0056,PRO,3926.90,,,2025-05-26,2026-04-05,False,CRITICO,Producto con restricciones especiales,Producto sujeto a regulaciones especiales o permisos previos.,Intento de importación sin permisos requeridos.,"[""Falta permiso COFEPRIS/SENASICA/SEMARNAT"", ""Producto en lista de sustancias controladas"", ""Requiere certificaci\u00f3n especial""]",Verificar permisos previos y certificaciones requeridas,23
A-2024-0057,TRI,8536.69,Tailandia,PROV-176,2024-10-30,2025-02-19,False,ALTO,Triangulación detectada: Tailandia como origen falso,Se detecta triangulación desde China vía Tailandia para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Tailandia con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Tailandia"", ""No hay historial de manufactura en Tailandia"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Tailandia,44
A-2024-0058,TRI,8473.30,Vietnam,,2025-03-18,2025-10-18,False,ALTO,Triangulación detectada: Vietnam como origen falso,Se detecta triangulación desde China vía Vietnam para aprovechar aranceles preferenciales inexistentes.,Productos manufacturados en China son re-etiquetados en Vietnam con certificados de origen apócrifos.,"[""Proveedor registrado hace <12 meses en Vietnam"", ""No hay historial de manufactura en Vietnam"", ""Precio 35-50% por debajo del mercado"", ""Certificado de origen con irregularidades""]",Solicitar certificado de origen y verificar número de registro del exportador con autoridades de Vietnam,24
A-2024-0059,SAN,,Vietnam,,2024-06-23,2025-05-15,False,CRITICO,Proveedor en lista de observación,Proveedor extranjero con antecedentes de irregularidades.,Empresa relacionada con casos previos de fraude aduanero.,"[""Proveedor en lista OFAC o similar"", ""Relacionado con empresa sancionada"", ""M\u00faltiples casos de subfacturaci\u00f3n""]",Verificar identidad del proveedor y solicitar documentación corporativa,43
A-2024-0060,SUB,8528.72,China,,2025-02-24,2026-01-01,False,CRITICO,Subfacturación sistemática en 8528.72,Patrón de subfacturación detectado en importaciones de esta fracción desde China.,Declaración de valores 40-60% por debajo del mercado de forma consistente.,"[""Precio declarado en percentil <5 del mercado"", ""Mismo importador con patr\u00f3n de erosi\u00f3n gradual de precios"", ""M\u00faltiples importadores con precio id\u00e9ntico del mismo proveedor""]","Solicitar documentación adicional de valor: contratos, pagos bancarios, lista de precios del proveedor",15
